travel_weight,rank,x_m,y_m,worst_linearized_m,distance_m,score,max_source_distance_m
0.0,0,750.2331031821238,500.0,76.6690126663822,901.5817817093906,76.6690126663822,916.1300056854063
0.0,1,750.2331031821237,-500.0,76.66901266638223,901.5817817093905,76.66901266638223,916.1300056854064
0.0,2,872.6918015389526,295.64145040361177,93.73940027055413,921.4091640905542,93.73940027055413,921.409164627873
0.0,3,872.6918015389526,-295.6414504036117,93.73940027055414,921.4091640905542,93.73940027055414,921.409164627873
0.0,4,750.2331031821238,320.0,106.68284851870656,815.6284136236791,106.68284851870656,825.9383605748778
0.0,5,750.2331031821237,-320.0,106.68284851870662,815.628413623679,106.68284851870662,825.938360574878
0.0,6,627.7744048252952,295.64145040361177,136.46601374056993,693.9053037342378,136.46601374056993,929.7939738220733
0.0,7,627.7744048252952,-295.64145040361177,136.46601374056993,693.9053037342378,136.46601374056993,929.7939738220733
0.0,8,811.4624523605382,147.82072520180589,203.05366120428278,824.816511952911,203.05366120428278,824.8165125110402
0.0,9,811.4624523605382,-147.82072520180586,203.05366120428283,824.816511952911,203.05366120428283,824.8165125110402
0.0,10,750.2331031821238,160.0,206.910269782032,767.1047575854808,206.910269782032,772.6007654120698
0.0,11,750.2331031821238,-160.0,206.910269782032,767.1047575854808,206.910269782032,772.6007654120698
0.0,12,689.0037540037096,-147.82072520180589,247.249939737406,704.6822970888314,247.249939737406,829.50784918449
0.0,13,689.0037540037094,147.82072520180589,247.2499397374062,704.6822970888313,247.2499397374062,829.5078491844902
0.0,14,863.3701881719714,113.1370849898476,247.88926222268532,870.7514466391115,247.88926222268532,870.7514472016165
0.0,15,863.3701881719714,-113.13708498984764,247.88926222268532,870.7514466391115,247.88926222268532,870.7514472016165
0.0,16,637.0960181922762,113.13708498984761,355.2214447513165,647.0636262350505,355.2214447513165,874.1202974326167
0.0,17,637.0960181922762,-113.1370849898476,355.22144475131677,647.0636262350505,355.22144475131677,874.1202974326167
0.0,18,750.2331031821238,80.0,446.9341550927918,754.4863876242429,446.9341550927918,757.2851684394827
0.0,19,750.2331031821238,-80.0,446.9341550927922,754.4863876242429,446.9341550927922,757.2851684394827
0.0,20,780.847777771331,73.91036260090294,469.2187508378191,784.3379333872759,469.2187508378191,784.3379339520657
0.0,21,780.847777771331,-73.91036260090293,469.2187508378196,784.3379333872759,469.2187508378196,784.3379339520657
0.0,22,898.0538283839297,61.22934917841437,492.4907433467182,900.1387181295141,492.4907433467182,900.1387186955143
0.0,23,898.0538283839297,-61.22934917841433,492.49074334671866,900.1387181295141,492.49074334671866,900.1387186955143
0.0,24,719.6184285929166,73.91036260090294,513.7853215245353,723.4040533963959,513.7853215245353,786.8077852373457
0.0,25,719.6184285929166,-73.91036260090294,513.7853215245354,723.4040533963959,513.7853215245354,786.8077852373457
0.0,26,806.8016456770476,-56.56854249492382,633.8489824100442,808.7823535829601,633.8489824100442,808.7823541488849
0.0,27,806.8016456770476,56.5685424949238,633.8489824100444,808.7823535829601,633.8489824100444,808.7823541488849
0.0,28,693.6645606872,56.568542494923804,740.2297203900023,695.9673287973842,740.2297203900023,810.5973119697602
0.0,29,693.6645606872,-56.5685424949238,740.2297203900023,695.9673287973842,740.2297203900023,810.5973119697602
0.0,30,602.412377980318,61.22934917841438,750.5500764490545,605.5160661326119,750.5500764490545,901.8593233315385
0.0,31,602.412377980318,-61.229349178414346,750.5500764490548,605.5160661326119,750.5500764490548,901.8593233315385
0.0,32,750.2331031821238,-40.0,1111.1226611026145,751.2986816907636,1111.1226611026145,752.7052996691104
0.0,33,750.2331031821238,40.0,1111.1226611026148,751.2986816907636,1111.1226611026148,752.7052996691104
0.0,34,765.5404404767274,36.95518130045147,1233.6786520126677,766.4318961461945,1233.6786520126677,766.4318967128488
0.0,35,765.5404404767274,-36.955181300451464,1233.6786520126684,766.4318961461945,1233.6786520126684,766.4318967128488
0.0,36,734.9257658875202,36.95518130045147,1273.3978132182756,735.854310845773,1273.3978132182756,767.6966200497474
0.0,37,734.9257658875202,-36.95518130045147,1273.3978132182756,735.854310845773,1273.3978132182756,767.6966200497474
0.0,38,824.1434657830268,30.614674589207183,1612.0512660560055,824.7118954477752,1612.0512660560055,824.7118960146984
